intersection_distance,traffic_density,vehicle_type,vehicle_id,initial_speed,time_to_crossing,stopping_distance,clearance_time,can_stop
300,light,car,0,58.69479254623631,18.0,53.99,18.68,True
300,light,car,1,57.20632883350508,18.01,51.89,19.16,True
300,light,car,2,49.986808864960615,18.09,42.25,21.93,True
300,medium,truck,0,45.78942893481387,21.65,52.4,24.37,True
300,medium,car,1,48.895561616769285,18.11,40.87,22.42,True
300,medium,car,2,52.305084763311115,18.05,45.25,20.96,True
300,medium,suv,3,53.76170047019509,18.05,50.28,20.42,True
300,medium,suv,4,42.19530298964773,18.37,34.75,26.02,True
300,medium,car,5,51.43072237226055,18.07,44.11,21.31,True
300,medium,car,6,51.33385930714531,18.07,43.98,21.35,True
300,medium,car,7,52.8716569660163,18.05,46.0,20.73,True
300,heavy,car,0,24.09275582273256,19.19,15.02,45.5,True
300,heavy,suv,1,24.79922865675548,19.43,16.26,44.28,True
300,heavy,truck,2,29.963381280548813,22.72,28.19,37.25,True
300,heavy,car,3,20.823472043069366,19.42,12.39,52.64,True
300,heavy,car,4,29.687258991178496,18.85,19.93,36.92,True
300,heavy,car,5,27.132040587908342,19.0,17.62,40.4,True
300,heavy,car,6,34.72614909559388,18.59,24.81,31.57,True
300,heavy,car,7,27.76917134320714,18.96,18.18,39.48,True
300,heavy,car,8,38.31412321762241,18.44,28.55,28.61,True
300,heavy,car,9,38.16938456035045,18.44,28.39,28.72,True
300,heavy,car,10,29.25583157661665,18.88,19.53,37.47,True
300,heavy,car,11,37.891597076692086,18.45,28.1,28.93,True
300,heavy,car,12,30.600080482098445,18.8,20.78,35.82,True
300,heavy,car,13,26.99505100416571,19.01,17.5,40.61,True
300,heavy,car,14,21.34637120086242,19.38,12.8,51.35,True
500,light,car,0,57.895221218578456,30.0,52.86,31.37,True
500,light,suv,1,58.524723013827476,30.0,57.42,31.06,True
500,light,car,2,49.42191011946545,30.1,41.53,36.75,True
500,medium,car,0,45.29269423174308,30.2,36.46,40.1,True
500,medium,car,1,40.7818811251657,30.34,31.25,44.53,True
500,medium,motorcycle,2,41.54272379431568,26.12,24.94,43.5,True
500,medium,suv,3,46.28214710090032,30.22,39.94,39.28,True
500,medium,suv,4,47.704208121224056,30.17,41.83,38.11,True
500,medium,truck,5,44.32640059600201,36.09,49.89,41.42,True
500,medium,car,6,35.44154444393768,30.56,25.54,51.24,True
500,medium,car,7,47.68912828921736,30.14,39.37,38.08,True
500,heavy,suv,0,23.167149360925897,31.57,14.83,78.47,True
500,heavy,car,1,22.20026835169883,31.32,13.48,81.81,True
500,heavy,car,2,23.709745283292737,31.22,14.7,76.6,True
500,heavy,suv,3,20.768106475898016,31.78,12.81,87.54,True
500,heavy,truck,4,36.630224006441566,36.5,37.61,50.12,True
500,heavy,suv,5,34.707509340175925,30.74,26.08,52.38,True
500,heavy,suv,6,25.39351196693522,31.39,16.8,71.59,True
500,heavy,car,7,20.003363545239576,31.48,11.77,90.79,True
500,heavy,suv,8,35.16089825721311,30.71,26.57,51.71,True
500,heavy,car,9,33.83092615438416,30.63,23.91,53.68,True
500,heavy,car,10,39.42905614764259,30.39,29.76,46.06,True
500,heavy,car,11,21.41971897858572,31.38,12.86,84.79,True
500,heavy,suv,12,38.06843117860667,30.56,29.84,47.76,True
500,heavy,motorcycle,13,39.340492403287044,26.18,23.07,45.94,True
500,heavy,car,14,34.01709479490253,30.63,24.09,53.39,True
1000,light,suv,0,46.83879610696769,60.2,40.68,77.24,True
1000,light,car,1,51.73231633855884,60.06,44.5,69.9,True
1000,light,car,2,54.93072211930389,60.02,48.76,65.83,True
1000,medium,suv,0,48.26252609161308,60.16,42.58,74.96,True
1000,medium,car,1,46.2137326330452,60.18,37.57,78.25,True
1000,medium,truck,2,35.40602537290726,72.59,35.79,102.69,True
1000,medium,car,3,53.565861019984254,60.04,46.92,67.51,True
1000,medium,motorcycle,4,52.203455791737895,51.59,34.92,69.1,True
1000,medium,car,5,45.60493541055607,60.19,36.83,79.29,True
1000,medium,truck,6,49.37155532220521,72.0,58.78,73.65,True
1000,medium,motorcycle,7,48.55489797383407,51.66,31.34,74.29,True
1000,heavy,suv,0,26.863198296799254,61.27,18.15,134.68,True
1000,heavy,truck,1,24.90962903847292,73.75,21.82,145.97,True
1000,heavy,suv,2,30.969171056860326,60.98,22.15,116.83,True
1000,heavy,car,3,21.15230165866414,61.4,12.65,170.96,True
1000,heavy,suv,4,25.364569972158975,61.39,16.77,142.64,True
1000,heavy,suv,5,26.114991217336932,61.33,17.46,138.54,True
1000,heavy,suv,6,26.244822991851457,61.32,17.58,137.86,True
1000,heavy,car,7,31.175222041594626,60.77,21.32,116.0,True
1000,heavy,motorcycle,8,39.44014183368627,51.89,23.15,91.46,True
1000,heavy,car,9,20.899999893075623,61.42,12.45,173.02,True
1000,heavy,car,10,31.453729622304255,60.75,21.59,114.97,True
1000,heavy,car,11,32.048641835053466,60.72,22.16,112.83,True
1000,heavy,car,12,23.470894922217262,61.24,14.5,154.07,True
1000,heavy,car,13,20.028446383063443,61.48,11.78,180.55,True
1000,heavy,suv,14,26.900934128861103,61.27,18.19,134.49,True
