intersection_distance,traffic_density,vehicle_type,vehicle_id,initial_speed,time_to_crossing,stopping_distance,clearance_time,can_stop
9,light,car,0,59.269425134332785,0.54,54.81,0.82,False
9,light,truck,1,57.792137790238804,0.56,75.06,1.18,False
9,light,car,2,59.39927454829605,0.54,55.0,0.82,False
9,medium,car,0,41.639859008902,0.72,32.22,1.17,False
9,medium,suv,1,42.502473090962866,0.72,35.13,1.19,False
9,medium,suv,2,40.2304535443876,0.75,32.37,1.25,False
9,medium,car,3,46.50935389792859,0.66,37.92,1.04,False
9,medium,truck,4,44.977528075487044,0.7,51.0,1.52,False
9,medium,car,5,48.991638277731994,0.63,40.99,0.99,False
9,medium,suv,6,43.15138206094264,0.71,35.94,1.17,False
9,medium,car,7,38.89676553577285,0.77,29.18,1.25,False
9,heavy,car,0,28.270255704965127,0.99,18.63,1.72,False
9,heavy,car,1,25.913314202691325,1.06,16.55,1.88,False
9,heavy,suv,2,23.53348981221924,1.17,15.15,2.14,False
9,heavy,suv,3,28.000123770457158,1.02,19.23,1.8,False
9,heavy,car,4,32.71018963546803,0.88,22.8,1.49,False
9,heavy,car,5,24.583672941504776,1.1,15.42,1.98,False
9,heavy,car,6,25.99679169239197,1.05,16.63,1.87,False
9,heavy,suv,7,39.81579263151196,0.76,31.88,1.27,False
9,heavy,suv,8,32.11358956619095,0.92,23.33,1.57,False
9,heavy,car,9,36.65293048779863,0.8,26.79,1.33,False
9,heavy,motorcycle,10,39.186244743880636,0.73,22.94,1.01,False
9,heavy,suv,11,20.436613439075447,1.29,12.54,2.47,False
9,heavy,motorcycle,12,27.869635141993534,0.94,14.28,1.42,False
9,heavy,car,13,25.048542472620206,1.08,15.82,1.94,False
9,heavy,car,14,20.498557864670186,1.24,12.14,2.37,False
15,light,car,0,46.77717647858526,1.05,38.25,1.5,False
15,light,car,1,56.492038821831876,0.91,50.9,1.24,False
15,light,car,2,54.671664216068976,0.93,48.41,1.28,False
15,medium,motorcycle,0,39.50987791492827,1.13,23.21,1.55,False
15,medium,car,1,48.4835916708013,1.02,40.35,1.45,False
15,medium,car,2,51.42747265214021,0.97,44.1,1.37,False
15,medium,motorcycle,3,52.105866587747116,0.92,34.83,1.17,False
15,medium,car,4,52.719742868715954,0.95,45.8,1.33,False
15,medium,car,5,44.50554863624359,1.09,35.53,1.58,False
15,medium,truck,6,51.30365035395474,1.05,62.35,1.75,False
15,medium,motorcycle,7,43.64948942992136,1.05,26.8,1.4,False
15,heavy,car,0,39.81915684971989,1.19,30.18,1.76,False
15,heavy,suv,1,33.40915008298474,1.4,24.69,2.16,False
15,heavy,car,2,35.97951680585267,1.29,26.09,1.95,False
15,heavy,car,3,23.97837256619019,1.71,14.92,2.93,True
15,heavy,car,4,23.58334419540539,1.72,14.59,2.98,True
15,heavy,suv,5,36.29354789743973,1.32,27.83,1.98,False
15,heavy,car,6,28.819541861542447,1.52,19.13,2.44,False
15,heavy,car,7,29.71617398545369,1.48,19.95,2.36,False
15,heavy,truck,8,20.20264957912866,2.23,16.47,4.45,False
15,heavy,truck,9,37.87152024130767,1.34,39.48,2.38,False
15,heavy,car,10,36.33295929512224,1.28,26.46,1.93,False
15,heavy,suv,11,34.386128393468354,1.37,25.73,2.09,False
15,heavy,car,12,26.08747557340879,1.62,16.7,2.69,False
15,heavy,motorcycle,13,38.62343766158139,1.15,22.47,1.58,False
15,heavy,car,14,28.403138803513666,1.53,18.75,2.47,False
30,light,suv,0,57.651112650118115,1.81,56.08,2.19,False
30,light,car,1,50.05432494528085,1.89,42.34,2.48,False
30,light,motorcycle,2,54.96453564837411,1.65,37.75,2.1,False
30,medium,car,0,48.20201564524172,1.93,40.0,2.58,False
30,medium,car,1,41.59109293393168,2.11,32.16,2.99,False
30,medium,suv,2,40.506538044480564,2.23,32.7,3.11,False
30,medium,car,3,37.79312270127129,2.25,27.99,3.29,True
30,medium,car,4,52.4933091129689,1.85,45.5,2.37,False
30,medium,truck,5,38.67131305211712,2.5,40.72,3.72,False
30,medium,motorcycle,6,47.270816931643374,1.8,30.13,2.44,False
30,medium,car,7,50.32724530903316,1.89,42.68,2.47,False
30,heavy,car,0,29.534871482287045,2.61,19.78,4.21,True
30,heavy,suv,1,25.66753870196466,2.97,17.05,4.91,True
30,heavy,suv,2,30.205233897529922,2.7,21.39,4.17,True
30,heavy,motorcycle,3,26.978106657398175,2.43,13.67,4.27,True
30,heavy,car,4,23.476854228127515,2.94,14.51,5.29,True
30,heavy,truck,5,38.941664840269496,2.49,41.14,3.7,False
30,heavy,suv,6,36.95369112430252,2.37,28.57,3.41,True
30,heavy,car,7,23.660189170722777,2.93,14.66,5.25,True
30,heavy,car,8,35.728174425587156,2.34,25.83,3.48,True
30,heavy,suv,9,33.66836020231227,2.53,24.96,3.74,True
30,heavy,suv,10,31.981338822752953,2.61,23.19,3.94,True
30,heavy,suv,11,26.69822113072526,2.91,18.0,4.72,True
30,heavy,car,12,21.844498023758547,3.04,13.19,5.69,True
30,heavy,car,13,38.87464651915293,2.21,29.15,3.19,True
30,heavy,motorcycle,14,30.68845137077155,2.29,16.29,3.75,True
