vehicle_id,clearance_time,speed
cars_we.0,13.0,0.0
cars_we.1,13.0,0.0
cars_we.2,13.0,0.0
cars_we.3,13.0,0.0
cars_we.4,13.0,0.0
cars_we.5,13.0,0.0
cars_we.6,13.0,0.0
cars_we.7,13.0,0.0
cars_we.8,14.0,0.0
cars_we.9,14.0,0.0
cars_we.10,13.0,0.0
cars_we.11,14.0,0.0
cars_we.12,15.0,0.0
cars_we.13,14.0,0.0
cars_we.14,13.0,0.0
cars_we.15,12.0,0.0
cars_we.16,12.0,0.0
cars_we.17,14.0,0.0
cars_we.18,13.0,0.0
cars_we.19,12.0,0.0
cars_we.20,14.0,0.0
cars_we.21,13.0,0.0
cars_we.22,13.0,0.0
cars_we.23,13.0,0.0
cars_we.24,14.0,0.0
cars_we.25,14.0,0.0
cars_we.26,13.0,0.0
cars_we.27,13.0,0.0
cars_we.28,14.0,0.0
cars_we.29,13.0,0.0
cars_we.30,13.0,0.0
cars_we.31,13.0,0.0
cars_we.32,13.0,0.0
cars_we.33,13.0,0.0
cars_we.34,13.0,0.0
cars_we.35,13.0,0.0
cars_we.36,14.0,0.0
cars_we.37,13.0,0.0
cars_we.38,13.0,0.0
cars_we.39,13.0,0.0
cars_we.40,14.0,0.0
cars_we.41,14.0,0.0
cars_we.42,12.0,0.0
cars_we.43,13.0,0.0
cars_we.44,13.0,0.0
cars_we.45,13.0,0.0
cars_we.46,14.0,0.0
cars_we.47,13.0,0.0
cars_we.48,13.0,0.0
cars_we.49,13.0,0.0
cars_we.50,12.0,0.0
cars_we.51,13.0,0.0
cars_we.52,14.0,0.0
cars_we.53,13.0,0.0
cars_we.54,13.0,0.0
cars_we.55,14.0,0.0
cars_we.56,12.0,0.0
cars_we.57,12.0,0.0
cars_we.58,13.0,0.0
cars_we.59,13.0,0.0
cars_we.60,14.0,0.0
cars_we.61,13.0,0.0
cars_we.62,14.0,0.0
cars_we.63,13.0,0.0
cars_we.64,12.0,0.0
cars_we.65,13.0,0.0
cars_we.66,13.0,0.0
cars_we.67,12.0,0.0
cars_we.68,12.0,0.0
cars_we.69,13.0,0.0
cars_we.70,13.0,0.0
cars_we.71,14.0,0.0
cars_we.72,16.0,0.0
cars_we.73,14.0,0.0
cars_we.74,13.0,0.0
cars_we.75,14.0,0.0
cars_we.76,13.0,0.0
cars_we.77,14.0,0.0
cars_we.78,12.0,0.0
cars_we.79,13.0,0.0
cars_we.80,14.0,0.0
cars_we.81,13.0,0.0
cars_we.82,13.0,0.0
cars_we.83,13.0,0.0
cars_we.84,13.0,0.0
cars_we.85,13.0,0.0
