vehicle_id,crossing,stop_start_time,stop_end_time,duration,gate_closed
f_north_wb.0,west,142.60,180.40,37.80,False
f_north_wb.0,east,142.60,180.40,37.80,False
f_north_eb.1,west,135.60,180.50,44.90,False
f_north_wb.1,east,146.10,180.50,34.40,False
f_south_eb.1,west,136.50,180.50,44.00,False
f_south_eb.1,east,136.50,180.50,44.00,False
f_south_eb.2,west,141.50,180.50,39.00,False
f_south_wb.1,west,143.60,180.50,36.90,False
f_south_wb.1,east,143.60,180.50,36.90,False
f_south_wb.2,east,148.90,180.50,31.60,False
f_north_eb.2,west,138.20,181.00,42.80,False
f_south_eb.3,west,160.90,181.00,20.10,False
f_south_wb.3,east,151.50,181.00,29.50,False
f_north_wb.2,east,148.60,181.10,32.50,False
f_north_eb.3,west,167.70,181.60,13.90,False
f_south_eb.4,west,168.10,181.60,13.50,False
f_south_wb.4,east,178.40,181.60,3.20,False
f_north_wb.3,east,159.80,181.70,21.90,False
f_south_wb.5,east,180.40,182.10,1.70,False
f_north_eb.4,west,169.80,182.20,12.40,False
f_north_wb.4,east,164.10,182.30,18.20,False
f_south_eb.5,west,170.20,182.30,12.10,False
f_north_eb.5,west,171.50,182.90,11.40,False
f_south_eb.9,west,242.50,270.40,27.90,False
f_north_eb.8,west,227.00,270.50,43.50,False
f_north_eb.8,east,227.00,270.50,43.50,False
f_north_eb.9,west,239.40,270.50,31.10,False
f_north_wb.8,west,236.20,270.50,34.30,False
f_north_wb.8,east,236.20,270.50,34.30,False
f_north_wb.9,east,243.10,270.50,27.40,False
f_south_wb.10,east,237.00,270.50,33.50,False
f_south_wb.7,west,232.30,270.50,38.20,False
f_south_wb.7,east,232.30,270.50,38.20,False
f_north_eb.10,west,242.00,271.00,29.00,False
f_north_wb.10,east,245.70,271.00,25.30,False
f_south_eb.10,west,245.00,271.00,26.00,False
f_south_wb.11,east,253.10,271.00,17.90,False
f_south_wb.8,west,234.90,271.00,36.10,False
f_south_wb.8,east,234.90,271.00,36.10,False
f_north_wb.11,east,247.70,271.60,23.90,False
f_south_eb.11,west,247.60,271.60,24.00,False
f_north_eb.11,west,261.10,271.70,10.60,False
f_south_wb.12,east,262.90,271.70,8.80,False
f_south_wb.9,west,236.90,271.70,34.80,False
f_south_wb.9,east,236.90,271.70,34.80,False
f_north_eb.12,west,263.10,272.30,9.20,False
f_north_wb.12,east,250.60,272.30,21.70,False
f_south_eb.12,west,259.30,272.30,13.00,False
f_north_eb.13,west,268.50,272.90,4.40,False
f_north_wb.13,east,270.40,272.90,2.50,False
f_south_eb.13,west,270.30,272.90,2.60,False
f_west_ns.5,west,251.20,275.30,24.10,False
f_west_sn.5,west,250.70,275.40,24.70,False
f_west_sn.5,east,250.70,275.40,24.70,False
f_north_eb.16,west,322.40,360.50,38.10,False
f_north_eb.16,east,322.40,360.50,38.10,False
f_north_eb.17,west,319.70,360.50,40.80,False
f_north_wb.15,west,316.90,360.50,43.60,False
f_north_wb.15,east,316.90,360.50,43.60,False
f_north_wb.17,east,318.20,360.50,42.30,False
f_south_eb.16,west,324.60,360.50,35.90,False
f_south_eb.16,east,324.60,360.50,35.90,False
f_south_eb.17,west,318.90,360.50,41.60,False
f_south_wb.16,west,330.80,360.50,29.70,False
f_south_wb.16,east,330.80,360.50,29.70,False
f_south_wb.17,east,333.50,360.50,27.00,False
f_north_eb.18,west,354.70,361.00,6.30,False
f_north_wb.16,west,328.00,361.00,33.00,False
f_north_wb.16,east,328.00,361.00,33.00,False
f_north_wb.18,east,342.70,361.00,18.30,False
f_south_eb.18,west,325.20,361.00,35.80,False
f_south_wb.18,east,336.00,361.00,25.00,False
f_north_eb.19,west,356.70,361.60,4.90,False
f_north_wb.19,east,356.10,361.60,5.50,False
f_south_eb.19,west,334.30,361.60,27.30,False
f_south_wb.19,east,338.20,361.60,23.40,False
f_south_eb.20,west,360.30,362.10,1.80,False
f_north_eb.20,west,358.50,362.30,3.80,False
f_south_eb.23,west,411.80,450.40,38.60,False
f_south_eb.23,east,411.80,450.40,38.60,False
f_north_eb.24,west,411.10,450.50,39.40,False
f_north_wb.23,west,410.00,450.50,40.50,False
f_north_wb.23,east,410.00,450.50,40.50,False
f_north_wb.25,east,415.70,450.50,34.80,False
f_south_eb.25,west,413.40,450.50,37.10,False
f_south_wb.21,west,405.70,450.50,44.80,False
f_south_wb.21,east,405.70,450.50,44.80,False
f_south_wb.25,east,409.90,450.50,40.60,False
f_north_eb.25,west,413.70,451.00,37.30,False
f_north_wb.24,west,412.90,451.00,38.10,False
f_north_wb.24,east,412.90,451.00,38.10,False
f_north_wb.26,east,426.00,451.00,25.00,False
f_south_eb.24,west,420.20,451.00,30.80,False
f_south_eb.24,east,420.20,451.00,30.80,False
f_south_eb.26,west,416.10,451.00,34.90,False
f_south_wb.22,west,410.20,451.00,40.80,False
f_south_wb.22,east,410.20,451.00,40.80,False
f_south_wb.26,east,428.60,451.00,22.40,False
f_north_eb.26,west,433.70,451.60,17.90,False
f_north_wb.27,east,439.70,451.60,11.90,False
f_south_eb.27,west,440.90,451.60,10.70,False
f_south_wb.23,west,412.20,451.60,39.40,False
f_south_wb.23,east,412.20,451.60,39.40,False
f_south_wb.27,east,446.30,451.70,5.40,False
f_north_eb.27,west,435.80,452.30,16.50,False
f_north_wb.28,east,441.80,452.30,10.50,False
f_south_wb.24,west,420.30,452.30,32.00,False
f_south_wb.24,east,420.30,452.30,32.00,False
f_south_wb.28,east,448.30,452.30,4.00,False
f_north_eb.28,west,442.20,452.90,10.70,False
f_west_ns.9,west,443.10,455.50,12.40,False
f_west_sn.9,west,443.20,455.50,12.30,False
f_west_sn.9,east,443.20,455.50,12.30,False
f_east_ns.9,west,443.00,464.40,21.40,False
f_east_ns.9,east,443.00,464.40,21.40,False
f_east_sn.9,east,443.10,464.40,21.30,False
f_north_eb.32,west,515.20,540.50,25.30,False
f_north_wb.30,west,504.30,540.50,36.20,False
f_north_wb.30,east,504.30,540.50,36.20,False
f_north_wb.33,east,519.30,540.50,21.20,False
f_south_eb.31,west,498.90,540.50,41.60,False
f_south_wb.32,west,504.80,540.50,35.70,False
f_south_wb.32,east,504.80,540.50,35.70,False
f_south_wb.33,east,524.70,540.50,15.80,False
